playlist_index,artist_name,artist_uri,album_name,album_uri,track_name,track_uri,duration_ms_x,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,track_href,analysis_url,duration_ms,time_signature
1,OneRepublic,spotify:artist:5Pwc4xIPtQLFEnJriah9YJ,Dreaming Out Loud (International Version),spotify:album:72c3ugX0yPaFCtEuHPDXaY,Apologize,spotify:track:6fOPuabPdAJ0HgqJFcDGb1,208106,2007-01-01,0,0.593,0.74,8,-6.12,1,0.0339,0.363,2.22e-05,0.102,0.502,118.008,audio_features,6fOPuabPdAJ0HgqJFcDGb1,https://api.spotify.com/v1/tracks/6fOPuabPdAJ0HgqJFcDGb1,https://api.spotify.com/v1/audio-analysis/6fOPuabPdAJ0HgqJFcDGb1,208107,4
2,OneRepublic,spotify:artist:5Pwc4xIPtQLFEnJriah9YJ,Waking Up,spotify:album:4ySSx2L6h2siW22LK6dwhN,Secrets,spotify:track:4zweVv3Wa6XgexhoUOzkYs,224693,2009-01-01,0,0.516,0.764,2,-6.223,1,0.0366,0.0717,0.0,0.115,0.376,148.021,audio_features,4zweVv3Wa6XgexhoUOzkYs,https://api.spotify.com/v1/tracks/4zweVv3Wa6XgexhoUOzkYs,https://api.spotify.com/v1/audio-analysis/4zweVv3Wa6XgexhoUOzkYs,224693,4
3,OneRepublic,spotify:artist:5Pwc4xIPtQLFEnJriah9YJ,Native,spotify:album:42UJjk8i8L0De7lQtu7sqi,Counting Stars,spotify:track:1QzFhzIOW7CyRJLpmq5CM0,257386,2014-01-01,58,0.663,0.705,1,-4.972,0,0.0385,0.0654,0.0,0.117,0.477,122.014,audio_features,1QzFhzIOW7CyRJLpmq5CM0,https://api.spotify.com/v1/tracks/1QzFhzIOW7CyRJLpmq5CM0,https://api.spotify.com/v1/audio-analysis/1QzFhzIOW7CyRJLpmq5CM0,257387,4
4,Christina Perri,spotify:artist:7H55rcKCfwqkyDFH9wpKM6,A Thousand Years,spotify:album:15yvc643iYfQtb6zh9NEJo,a thousand years,spotify:track:6lanRgr6wXibZr8KgzXxBl,285120,2011-10-18,82,0.421,0.407,10,-7.445,1,0.0267,0.309,0.000961,0.11,0.161,139.028,audio_features,6lanRgr6wXibZr8KgzXxBl,https://api.spotify.com/v1/tracks/6lanRgr6wXibZr8KgzXxBl,https://api.spotify.com/v1/audio-analysis/6lanRgr6wXibZr8KgzXxBl,285120,3
5,Aqualung,spotify:artist:3uT7nEkZwWc2GBiqUZGoOe,Strange & Beautiful,spotify:album:2w1zxP11Ec4G3fF92ErPyp,Brighter Than Sunshine,spotify:track:3W6UA36h0zahjxU709wLSI,241360,2005-01-17,41,0.314,0.483,11,-8.365,1,0.0351,0.229,0.0269,0.564,0.348,145.047,audio_features,3W6UA36h0zahjxU709wLSI,https://api.spotify.com/v1/tracks/3W6UA36h0zahjxU709wLSI,https://api.spotify.com/v1/audio-analysis/3W6UA36h0zahjxU709wLSI,241360,4
6,Jet,spotify:artist:5ypxebeHEIXjMtJb17uJlI,Get Born,spotify:album:6NrLpQCPYrNS3kVWxDgIlg,Look What You've Done,spotify:track:0ZSmRnXnP5fdANtVlCok1g,230893,2003-09-15,59,0.4,0.541,0,-6.84,1,0.0252,0.393,0.00108,0.146,0.325,74.425,audio_features,0ZSmRnXnP5fdANtVlCok1g,https://api.spotify.com/v1/tracks/0ZSmRnXnP5fdANtVlCok1g,https://api.spotify.com/v1/audio-analysis/0ZSmRnXnP5fdANtVlCok1g,230893,4
7,"Drake, Wizkid, Kyla","spotify:artist:3TVXtAsR1Inumwj472S9r4, spotify:artist:3tVQdUvClmAT7URs9V3rsp, spotify:artist:77DAFfvm3O9zT5dIoG0eIO",One Dance,spotify:album:05FOcj5Cygu51XbAmlJd2k,One Dance,spotify:track:0JoaFxLgrqbWutREzcZBzS,173974,2016-04-05,0,0.771,0.629,1,-5.79,1,0.0511,0.00802,0.00252,0.356,0.362,103.918,audio_features,0JoaFxLgrqbWutREzcZBzS,https://api.spotify.com/v1/tracks/0JoaFxLgrqbWutREzcZBzS,https://api.spotify.com/v1/audio-analysis/0JoaFxLgrqbWutREzcZBzS,173975,4
8,"Lost Frequencies, Janieck Devy","spotify:artist:7f5Zgnp2spUuuzKplmRkt7, spotify:artist:5gtYjyZlmPOc1lLHvYzCON",Reality (feat. Janieck Devy),spotify:album:1o18e1NP68Oe5UWA0JuxI2,Reality (feat. Janieck Devy) - Radio Edit,spotify:track:3GeeyHU1Q6xjyeXjRAjBoo,158474,2015-05-24,48,0.731,0.639,9,-6.597,1,0.0359,0.0206,1.29e-05,0.0789,0.527,122.08,audio_features,3GeeyHU1Q6xjyeXjRAjBoo,https://api.spotify.com/v1/tracks/3GeeyHU1Q6xjyeXjRAjBoo,https://api.spotify.com/v1/audio-analysis/3GeeyHU1Q6xjyeXjRAjBoo,158474,4
9,"Shawn Mendes, Camila Cabello","spotify:artist:7n2wHs1TKAczGzO7Dd2rGr, spotify:artist:4nDoRrQiYLoBzwC5BhVJzF",I Know What You Did Last Summer,spotify:album:4LMpYAVqnugeZa8crTR0qP,I Know What You Did Last Summer,spotify:track:2vPcuc4MgKP2PPdj4OQ0SV,223853,2015-11-18,0,0.692,0.766,9,-4.559,0,0.103,0.124,0.0,0.141,0.738,113.971,audio_features,2vPcuc4MgKP2PPdj4OQ0SV,https://api.spotify.com/v1/tracks/2vPcuc4MgKP2PPdj4OQ0SV,https://api.spotify.com/v1/audio-analysis/2vPcuc4MgKP2PPdj4OQ0SV,223853,4
10,Shawn Mendes,spotify:artist:7n2wHs1TKAczGzO7Dd2rGr,Handwritten (Deluxe),spotify:album:5wKylB0Zwnxz046O7po25D,Stitches,spotify:track:1WP1r7fuvRqZRnUaTi2I1Q,206880,2015-04-13,0,0.746,0.754,1,-6.681,1,0.067,0.0152,0.0,0.0486,0.764,149.882,audio_features,1WP1r7fuvRqZRnUaTi2I1Q,https://api.spotify.com/v1/tracks/1WP1r7fuvRqZRnUaTi2I1Q,https://api.spotify.com/v1/audio-analysis/1WP1r7fuvRqZRnUaTi2I1Q,206880,4
11,Ariana Grande,spotify:artist:66CXWjxzNUsdJxJ2JdwvnR,Dangerous Woman,spotify:album:4lVR2fg3DAUQpGVJ6DciHW,Into You,spotify:track:7yHEDfrJNd0zWOfXwydNH0,244453,2016-05-20,0,0.636,0.727,9,-5.852,1,0.106,0.0161,1.12e-06,0.151,0.358,107.988,audio_features,7yHEDfrJNd0zWOfXwydNH0,https://api.spotify.com/v1/tracks/7yHEDfrJNd0zWOfXwydNH0,https://api.spotify.com/v1/audio-analysis/7yHEDfrJNd0zWOfXwydNH0,244453,4
12,Bruno Mars,spotify:artist:0du5cEVh5yTK9QJze8zA0C,Unorthodox Jukebox,spotify:album:58ufpQsJ1DS5kq4hhzQDiI,Gorilla,spotify:track:2ih2U8ttFzCjnQ5njF3SrR,244493,2012-12-07,65,0.717,0.544,7,-6.598,1,0.0371,0.445,5.16e-06,0.0973,0.641,139.959,audio_features,2ih2U8ttFzCjnQ5njF3SrR,https://api.spotify.com/v1/tracks/2ih2U8ttFzCjnQ5njF3SrR,https://api.spotify.com/v1/audio-analysis/2ih2U8ttFzCjnQ5njF3SrR,244493,4
13,Bon Jovi,spotify:artist:58lV9VcRSjABbAbfWS6skp,Slippery When Wet (Remastered),spotify:album:7pMFJnQzOnQXviU4FPpQAn,You Give Love A Bad Name,spotify:track:5VVwwfK6Cp9IydkhKfJUEq,222706,1986-01-01,0,0.54,0.96,0,-2.971,0,0.0521,0.0678,2.34e-06,0.342,0.802,122.761,audio_features,5VVwwfK6Cp9IydkhKfJUEq,https://api.spotify.com/v1/tracks/5VVwwfK6Cp9IydkhKfJUEq,https://api.spotify.com/v1/audio-analysis/5VVwwfK6Cp9IydkhKfJUEq,222707,4
14,Kiiara,spotify:artist:4u5smJBskI6Adzv08PuiUP,low kii savage,spotify:album:2EvTMiJyF3H4BoxNCL4HLh,Gold,spotify:track:6ZSO7kPn8IMJFymyticbJO,225882,2016-03-22,61,0.6,0.412,8,-9.343,1,0.344,0.615,0.0025,0.134,0.408,113.049,audio_features,6ZSO7kPn8IMJFymyticbJO,https://api.spotify.com/v1/tracks/6ZSO7kPn8IMJFymyticbJO,https://api.spotify.com/v1/audio-analysis/6ZSO7kPn8IMJFymyticbJO,225882,5
15,The Goo Goo Dolls,spotify:artist:2sil8z5kiy4r76CRTXxBCA,Greatest Hits Volume One - The Singles,spotify:album:0UccZZgelTAbbk3OSPZymO,Iris,spotify:track:6vrUTGn5p8IrfTZ0J6sIVM,289906,2007-11-06,72,0.291,0.79,11,-5.683,0,0.0363,0.00133,5.61e-06,0.0811,0.513,155.667,audio_features,6vrUTGn5p8IrfTZ0J6sIVM,https://api.spotify.com/v1/tracks/6vrUTGn5p8IrfTZ0J6sIVM,https://api.spotify.com/v1/audio-analysis/6vrUTGn5p8IrfTZ0J6sIVM,289907,3
16,Oasis,spotify:artist:2DaxqgrOhkeH0fpeiQq2f4,(What's The Story) Morning Glory? [Remastered],spotify:album:1VW1MFNstaJuygaoTPkdCk,Wonderwall - Remastered,spotify:track:5qqabIl2vWzo9ApSC317sa,258773,1995-10-02,77,0.376,0.896,2,-4.065,1,0.0395,0.000452,0.0,0.194,0.472,174.379,audio_features,5qqabIl2vWzo9ApSC317sa,https://api.spotify.com/v1/tracks/5qqabIl2vWzo9ApSC317sa,https://api.spotify.com/v1/audio-analysis/5qqabIl2vWzo9ApSC317sa,258773,4
